TimeSeries ID,api/request_count storage.googleapis.com/api/request_count).gcs_bucket.ALIGN_RATE.REDUCE_SUM.metric.type="storage.googleapis.com/api/request_count" resource.type="gcs_bucket" metric.label."response_code"=monitoring.regex.full_match("CANCELLED|INVALID_ARGUMENT|NOT_FOUND|ALREADY_EXISTS|PERMISSION_DENIED|UNAUTHENTICATED|RESOURCE_EXHAUSTED|FAILED_PRECONDITION|ABORTED|OUT_OF_RANGE") AND resource.labels."project_id"="data-rainfall-476920-v0".60s.location:us-central1.project_id:data-rainfall-476920-v0
project_id,data-rainfall-476920-v0
location,us-central1
Tue Dec 02 2025 12:05:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:10:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:13:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:18:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:22:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:23:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:24:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:26:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:27:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:28:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:29:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:43:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:44:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:45:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 12:54:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 13:00:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 13:01:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:05:00 GMT+0530 (India Standard Time),0.2857142857142857
Tue Dec 02 2025 13:06:00 GMT+0530 (India Standard Time),0.631578947368421
Tue Dec 02 2025 13:07:00 GMT+0530 (India Standard Time),0.3584905660377358
Tue Dec 02 2025 13:21:00 GMT+0530 (India Standard Time),0.6481481481481481
Tue Dec 02 2025 13:22:00 GMT+0530 (India Standard Time),0.39170506912442393
Tue Dec 02 2025 13:29:00 GMT+0530 (India Standard Time),0.1212121212121212
Tue Dec 02 2025 13:30:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 13:31:00 GMT+0530 (India Standard Time),0.3636363636363636
Tue Dec 02 2025 13:32:00 GMT+0530 (India Standard Time),0.26666666666666666
Tue Dec 02 2025 13:33:00 GMT+0530 (India Standard Time),0.16666666666666666
Tue Dec 02 2025 13:34:00 GMT+0530 (India Standard Time),0.4
Tue Dec 02 2025 13:35:00 GMT+0530 (India Standard Time),0.30769230769230765
Tue Dec 02 2025 13:36:00 GMT+0530 (India Standard Time),0.30769230769230765
Tue Dec 02 2025 13:37:00 GMT+0530 (India Standard Time),0.30769230769230765
Tue Dec 02 2025 13:38:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 13:39:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 13:40:00 GMT+0530 (India Standard Time),0.30769230769230765
Tue Dec 02 2025 13:41:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 13:42:00 GMT+0530 (India Standard Time),0.2727272727272727
Tue Dec 02 2025 13:43:00 GMT+0530 (India Standard Time),0.4444444444444445
Tue Dec 02 2025 13:44:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:45:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 13:46:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 13:47:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 13:48:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 13:49:00 GMT+0530 (India Standard Time),0.26666666666666666
Tue Dec 02 2025 13:50:00 GMT+0530 (India Standard Time),0.2857142857142857
Tue Dec 02 2025 13:51:00 GMT+0530 (India Standard Time),0.5714285714285714
Tue Dec 02 2025 13:58:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:01:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:02:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:03:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:13:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:14:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:15:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:16:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:17:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:18:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:19:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:20:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:21:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:22:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:23:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:24:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:25:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:26:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:27:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:28:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:29:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:30:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:31:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:32:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:33:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:34:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:35:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:36:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:37:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:38:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:39:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:40:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:41:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:42:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:43:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:44:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:45:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:46:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:47:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:48:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:49:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:50:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:51:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:52:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:53:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:54:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:55:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:56:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:57:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:00:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:01:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:02:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:04:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:05:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:06:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:08:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:09:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:10:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:11:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:12:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:13:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:14:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 15:15:00 GMT+0530 (India Standard Time),0.5
Tue Dec 02 2025 15:17:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 15:18:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 15:19:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 15:20:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:21:00 GMT+0530 (India Standard Time),0.6666666666666666
Tue Dec 02 2025 15:22:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 15:23:00 GMT+0530 (India Standard Time),0.5
Tue Dec 02 2025 15:24:00 GMT+0530 (India Standard Time),0.8571428571428572
Tue Dec 02 2025 15:25:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:26:00 GMT+0530 (India Standard Time),0.6666666666666666
Tue Dec 02 2025 15:27:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 15:28:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 15:29:00 GMT+0530 (India Standard Time),0.5
Tue Dec 02 2025 15:30:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:31:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:32:00 GMT+0530 (India Standard Time),0.39999999999999997
Tue Dec 02 2025 15:34:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:46:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:59:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 16:00:00 GMT+0530 (India Standard Time),0.22222222222222224
Tue Dec 02 2025 16:01:00 GMT+0530 (India Standard Time),0.3333333333333333
Tue Dec 02 2025 16:55:00 GMT+0530 (India Standard Time),1
Tue Dec 02 2025 17:18:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 17:19:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 17:21:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 17:22:00 GMT+0530 (India Standard Time),0