TimeSeries ID,network/received_bytes_count.gcs_bucket.ALIGN_RATE.REDUCE_SUM.metric.type="storage.googleapis.com/network/received_bytes_count" resource.type="gcs_bucket" AND resource.labels."project_id"="data-rainfall-476920-v0".60s.location:us-central1.project_id:data-rainfall-476920-v0
location,us-central1
project_id,data-rainfall-476920-v0
Tue Dec 02 2025 12:04:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:05:00 GMT+0530 (India Standard Time),20.7
Tue Dec 02 2025 12:06:00 GMT+0530 (India Standard Time),2.216666666666667
Tue Dec 02 2025 12:07:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:10:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:11:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:12:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:13:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:14:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:15:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:18:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:19:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:20:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:21:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:22:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:23:00 GMT+0530 (India Standard Time),3485.4333333333334
Tue Dec 02 2025 12:24:00 GMT+0530 (India Standard Time),2132.3166666666666
Tue Dec 02 2025 12:25:00 GMT+0530 (India Standard Time),1452.0833333333333
Tue Dec 02 2025 12:26:00 GMT+0530 (India Standard Time),1724.8333333333333
Tue Dec 02 2025 12:27:00 GMT+0530 (India Standard Time),2198.6666666666665
Tue Dec 02 2025 12:28:00 GMT+0530 (India Standard Time),4100.116666666667
Tue Dec 02 2025 12:29:00 GMT+0530 (India Standard Time),2495.883333333333
Tue Dec 02 2025 12:30:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:31:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:43:00 GMT+0530 (India Standard Time),2198.6666666666665
Tue Dec 02 2025 12:44:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:45:00 GMT+0530 (India Standard Time),1.0166666666666666
Tue Dec 02 2025 12:46:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:47:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:54:00 GMT+0530 (India Standard Time),1.0166666666666666
Tue Dec 02 2025 12:55:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 12:56:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:00:00 GMT+0530 (India Standard Time),0.4666666666666667
Tue Dec 02 2025 13:01:00 GMT+0530 (India Standard Time),0.4166666666666667
Tue Dec 02 2025 13:02:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:03:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:05:00 GMT+0530 (India Standard Time),3130.8
Tue Dec 02 2025 13:06:00 GMT+0530 (India Standard Time),4003.15
Tue Dec 02 2025 13:07:00 GMT+0530 (India Standard Time),7052.433333333333
Tue Dec 02 2025 13:08:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:09:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:21:00 GMT+0530 (India Standard Time),16664.133333333335
Tue Dec 02 2025 13:22:00 GMT+0530 (India Standard Time),19332.25
Tue Dec 02 2025 13:23:00 GMT+0530 (India Standard Time),1470.6666666666667
Tue Dec 02 2025 13:24:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:29:00 GMT+0530 (India Standard Time),3595.15
Tue Dec 02 2025 13:30:00 GMT+0530 (India Standard Time),2462.5666666666666
Tue Dec 02 2025 13:31:00 GMT+0530 (India Standard Time),2436.133333333333
Tue Dec 02 2025 13:32:00 GMT+0530 (India Standard Time),3352.016666666667
Tue Dec 02 2025 13:33:00 GMT+0530 (India Standard Time),3739.9
Tue Dec 02 2025 13:34:00 GMT+0530 (India Standard Time),1510.9666666666667
Tue Dec 02 2025 13:35:00 GMT+0530 (India Standard Time),3733.483333333333
Tue Dec 02 2025 13:36:00 GMT+0530 (India Standard Time),3604.8166666666666
Tue Dec 02 2025 13:37:00 GMT+0530 (India Standard Time),3772.5666666666666
Tue Dec 02 2025 13:38:00 GMT+0530 (India Standard Time),3374.3333333333335
Tue Dec 02 2025 13:39:00 GMT+0530 (India Standard Time),3335.95
Tue Dec 02 2025 13:40:00 GMT+0530 (India Standard Time),3533.6
Tue Dec 02 2025 13:41:00 GMT+0530 (India Standard Time),648.2166666666667
Tue Dec 02 2025 13:42:00 GMT+0530 (India Standard Time),3262.016666666667
Tue Dec 02 2025 13:43:00 GMT+0530 (India Standard Time),5451.533333333334
Tue Dec 02 2025 13:44:00 GMT+0530 (India Standard Time),2166.6666666666665
Tue Dec 02 2025 13:45:00 GMT+0530 (India Standard Time),2435.8
Tue Dec 02 2025 13:46:00 GMT+0530 (India Standard Time),4678.483333333334
Tue Dec 02 2025 13:47:00 GMT+0530 (India Standard Time),3066.233333333333
Tue Dec 02 2025 13:48:00 GMT+0530 (India Standard Time),3880.4666666666667
Tue Dec 02 2025 13:49:00 GMT+0530 (India Standard Time),6848.633333333333
Tue Dec 02 2025 13:50:00 GMT+0530 (India Standard Time),4257.916666666667
Tue Dec 02 2025 13:51:00 GMT+0530 (India Standard Time),2384.2833333333333
Tue Dec 02 2025 13:52:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:53:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:58:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 13:59:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:00:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:01:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:02:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:03:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:04:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:13:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:14:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:15:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:16:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:17:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:18:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:19:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:20:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:21:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:22:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:23:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:24:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:25:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:26:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:27:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:28:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:29:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:30:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:31:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:32:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:33:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:34:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:35:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:36:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:37:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:38:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:39:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:40:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:41:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:42:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:43:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:44:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:45:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:46:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:47:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:48:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:49:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:50:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:51:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:52:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:53:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:54:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:55:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:56:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:57:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 14:58:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:00:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:01:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:02:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:03:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:04:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:05:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:06:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:07:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:08:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:09:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:10:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:11:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:12:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:13:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:14:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:15:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:16:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:17:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:18:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:19:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:20:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:21:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:22:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:23:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:24:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:25:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:26:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:27:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:28:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:29:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:30:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:31:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:32:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:33:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:34:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:35:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:36:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:45:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:46:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:47:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 15:59:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 16:00:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 16:01:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 16:02:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 16:03:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 16:55:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 16:56:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 16:57:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 17:18:00 GMT+0530 (India Standard Time),5744.15
Tue Dec 02 2025 17:19:00 GMT+0530 (India Standard Time),10021.716666666667
Tue Dec 02 2025 17:20:00 GMT+0530 (India Standard Time),4915.916666666667
Tue Dec 02 2025 17:21:00 GMT+0530 (India Standard Time),10855.616666666667
Tue Dec 02 2025 17:22:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 17:23:00 GMT+0530 (India Standard Time),0
Tue Dec 02 2025 17:24:00 GMT+0530 (India Standard Time),0